Image_Name,Camera_Manufacturer,ISO,Shutter_Speed,GT_Exposure_Ratio,Input_PSNR,Lamba_PSNR,GT_PSNR,Input_SSIM,Lamba_SSIM,GT_SSIM,ImageGT_tf
10003_00_0.04s.ARW,Sony,100,0.04,250.0,16.59594029886209,29.431976093970626,31.171093012675012,0.19253997923409452,0.837890045390837,0.8378246872582146,False
10003_00_0.1s.ARW,Sony,100,0.1,100.0,19.571884127818965,18.006676533516778,33.26504289765539,0.39436579148487505,0.7414246529058618,0.8987412579357533,False
10006_00_0.04s.ARW,Sony,100,0.04,250.0,16.32361031544164,29.897965299641584,32.39153054278175,0.09773727011238224,0.8788782917719039,0.8874013022954498,False
10006_00_0.1s.ARW,Sony,100,0.1,100.0,19.422642337726774,17.29067877758355,34.8608126991303,0.21598599569087518,0.7112502378709907,0.9189674666220182,False
10011_00_0.04s.ARW,Sony,100,0.04,250.0,15.597560732270527,28.376484592141754,30.28447852877811,0.0604604669336322,0.9152264769493904,0.9243371831343351,False
10011_00_0.1s.ARW,Sony,100,0.1,100.0,18.02993075265294,18.560002275980167,32.85384312988625,0.10053361099919779,0.8016005568366049,0.9427970112608054,False
10016_00_0.04s.ARW,Sony,100,0.04,250.0,16.72394297062876,29.419796887722246,32.11163856997638,0.10649523862772185,0.8344686037707415,0.8548533792844895,False
10016_00_0.1s.ARW,Sony,100,0.1,100.0,19.733071156917397,17.336106554239972,34.18575151321923,0.23542276047111155,0.696268833802223,0.8973504322251317,False
10022_00_0.04s.ARW,Sony,100,0.04,250.0,16.59379618570843,28.111102008158877,32.43955135029337,0.1013873040206787,0.8270626277068208,0.8597997576970097,False
10022_00_0.1s.ARW,Sony,100,0.1,100.0,20.10552580341033,17.212122751118784,35.20976048181423,0.2130022249787753,0.6678907519691158,0.9067212922622577,False
10030_00_0.04s.ARW,Sony,100,0.04,250.0,13.705560258068527,17.90036326816222,27.636805304879793,0.07875540391759982,0.8310468176169384,0.920752767792124,False
10030_00_0.1s.ARW,Sony,100,0.1,100.0,14.710236379724495,20.432806613391467,30.99695311122708,0.20298656977033971,0.9187630722722542,0.9452039705222645,False
10032_00_0.04s.ARW,Sony,100,0.04,250.0,14.783095298470904,30.13860536995562,34.14807205870166,0.06738935987072806,0.9442953894347003,0.9502835076016668,False
10032_00_0.1s.ARW,Sony,100,0.1,100.0,18.964946647344412,28.46782097504693,37.09879870428073,0.19023170506231293,0.9535279175549012,0.9669338350531594,False
10034_00_0.04s.ARW,Sony,100,0.04,250.0,16.785552331774017,20.390253769768165,21.054028435883172,0.31486451347019623,0.7226879073533726,0.7231123471313509,False
10034_00_0.1s.ARW,Sony,100,0.1,100.0,17.27585031440524,15.328043618477947,21.003171244684303,0.481858499650282,0.6867310981559288,0.724774428923991,False
10035_00_0.04s.ARW,Sony,100,0.04,250.0,18.22586637648432,32.31301924330162,35.810685221105665,0.12745116776093177,0.9248522360830721,0.9281374083131798,False
10035_00_0.1s.ARW,Sony,100,0.1,100.0,21.44506323998083,18.334552327288637,38.505365223743645,0.2619823873479375,0.6631261941514505,0.9502506209537008,False
10040_00_0.04s.ARW,Sony,100,0.04,250.0,14.71542446952431,30.613608295707845,32.633664879219054,0.09165525329895104,0.8733990989549548,0.8767564302247995,False
10040_00_0.1s.ARW,Sony,100,0.1,100.0,16.723946204603244,30.00180514973781,34.72133092466602,0.2276674187196475,0.9065113379871589,0.9130016955895868,False
10045_00_0.04s.ARW,Sony,100,0.04,250.0,11.58115283434596,15.412391283204311,21.30855991579277,0.10558938950137432,0.7173286393247916,0.7671009965639343,False
10045_00_0.1s.ARW,Sony,100,0.1,100.0,12.075602906006601,17.86848503895152,22.229228509508317,0.21121947424213047,0.796956773858771,0.8000029066914349,False
10054_00_0.04s.ARW,Sony,100,0.04,250.0,11.009827058960845,16.292227652019612,20.441396127375313,0.1222937059814282,0.770313722462794,0.8362892595810658,False
10054_00_0.1s.ARW,Sony,100,0.1,100.0,10.785780073052857,18.812418566439717,20.484427795197092,0.2383753619347937,0.8554030999170003,0.8598624417024704,False
10055_00_0.04s.ARW,Sony,100,0.04,250.0,12.370384332910891,16.737965888170855,21.715744943650694,0.10599641378688979,0.8275896268595927,0.8700790414717017,False
10055_00_0.1s.ARW,Sony,100,0.1,100.0,12.508667888303819,19.112972251835266,21.826883378500046,0.23764794607657472,0.8811619932327757,0.8871048092632202,False
10068_00_0.04s.ARW,Sony,100,0.04,250.0,13.684044682545405,13.32765152512551,21.615708907202333,0.0686512597462134,0.7708300506516775,0.9410558612179364,False
10068_00_0.1s.ARW,Sony,100,0.1,100.0,16.78039572231544,14.92068300261123,23.869415439259942,0.19314580061442543,0.8548986005790719,0.9551528809567431,False
10069_00_0.04s.ARW,Sony,100,0.04,250.0,15.275056805643029,30.497443933911686,35.07490476790704,0.07746245063204907,0.9574809077436703,0.9677296016399207,False
10069_00_0.1s.ARW,Sony,100,0.1,100.0,17.38295521424961,27.58115102104813,37.60383712484308,0.19525618726763874,0.9618791379029442,0.9743362140976498,False
10074_00_0.1s.ARW,Sony,100,0.1,300.0,11.468519405348365,18.527645667883693,30.944834050543882,0.02720290246195638,0.7294984217197141,0.8247757576587432,False
10077_00_0.1s.ARW,Sony,100,0.1,300.0,11.947593879144335,17.137378277408246,25.37162081731131,0.05004715192365939,0.6330967389874603,0.732387297880447,False
10082_00_0.1s.ARW,Sony,100,0.1,300.0,12.97577184325,19.996079181097105,29.340414408228924,0.06331063226956324,0.7255478314688156,0.7960874466187858,False
10087_00_0.1s.ARW,Sony,100,0.1,300.0,16.259629806995964,31.801984558579967,31.801984558579967,0.1763436314895228,0.8367659301133088,0.8367659301133088,False
10093_00_0.1s.ARW,Sony,100,0.1,300.0,16.49462220349694,23.73800922126474,25.801239171195117,0.1181334951420586,0.5127195420390415,0.5493839803779837,False
10101_00_0.1s.ARW,Sony,100,0.1,300.0,14.700561837661553,30.24928794513307,30.24928794513307,0.09568594034695654,0.8430695128413198,0.8430695128413198,False
10103_00_0.1s.ARW,Sony,100,0.1,300.0,16.764389333709264,28.566114857844926,28.566114857844926,0.18679285669588722,0.798025913907871,0.798025913907871,False
10105_00_0.1s.ARW,Sony,100,0.1,300.0,12.810668451182456,25.79015779093897,26.109028918958003,0.0790794450791474,0.7087912134921229,0.7090545398853948,False
10106_00_0.1s.ARW,Sony,100,0.1,300.0,13.018041640043002,25.287269450709857,25.287269450709857,0.06289770201637257,0.7310333708024969,0.7310333708024969,False
10111_00_0.1s.ARW,Sony,100,0.1,300.0,16.412543728433274,28.965217667019246,29.790178544311466,0.1679142627656067,0.7863765422921624,0.7995179293762797,False
10116_00_0.1s.ARW,Sony,100,0.1,300.0,13.676499849514121,22.196167695440934,27.926767255226956,0.1234890997244924,0.7628854189551494,0.7810218812980615,False
10125_00_0.1s.ARW,Sony,100,0.1,300.0,15.18919211728585,32.774320293317345,32.774320293317345,0.21145270901706156,0.8828025515324495,0.8828025515324495,False
